dataset,case_id,mahalanobis,dice
avt,D1,47.4782,0.805171
avt,D10,50.3214,0.778551
avt,D11,69.0532,0.824286
avt,D12,45.5811,0.754019
avt,D13,54.2456,0.804895
avt,D14,282.8166,0.772005
avt,D15,66.3234,0.810869
avt,D16,60.6062,0.778199
avt,D17,124.7401,0.808366
avt,D18,61.2959,0.793092
avt,D2,30.0357,0.812162
avt,D3,68.7347,0.804182
avt,D4,29.5748,0.813109
avt,D5,44.5573,0.762520
avt,D6,73.5883,0.774529
avt,D7,95.9912,0.813014
avt,D8,50.8622,0.799385
avt,D9,131.9116,0.806236
avt,K1,65.7806,0.811317
avt,K10,63.9147,0.781336
avt,K11,39.0996,0.753539
avt,K12,42.5368,0.810631
avt,K13,37.1119,0.810021
avt,K14,57.5704,0.810414
avt,K15,66.1336,0.773443
avt,K16,40.9058,0.793034
avt,K17,62.1384,0.815703
avt,K18,29.8492,0.777508
avt,K19,478.0843,0.310841
avt,K2,79.0905,0.723627
avt,K20,188.7400,0.441845
avt,K3,22.6826,0.759126
avt,K4,25.8540,0.758550
avt,K5,20.6279,0.792423
avt,K6,40.4735,0.798209
avt,K7,2736.3698,0.003455
avt,K8,48.1968,0.784710
avt,K9,66.1962,0.724982
avt,R1,275.4474,0.756869
avt,R10,39.9330,0.730516
avt,R11,27.6466,0.815465
avt,R12,35.2099,0.811350
avt,R13,47.8438,0.817757
avt,R14,50.7618,0.477346
avt,R15,58.4989,0.082844
avt,R16,116.3791,0.140643
avt,R17,22.8138,0.806015
avt,R18,68.6569,0.572409
avt,R2,48.0213,0.715613
avt,R3,27.4754,0.794001
avt,R4,66.7839,0.784566
avt,R5,55.6311,0.773211
avt,R6,60.8739,0.832014
avt,R7,24.4939,0.793005
avt,R8,36.4922,0.790952
avt,R9,107.7967,0.862659
